PatternId;Name;Symptoms;Toungue;Pulse;Luckhi;Acupuncture;Herb
tamkhitamduonghu;Tâm khí,tâm dương hư;"Hồi hộp đánh trống ngực, khó thở khi gắng sức, mệt mỏi, Ra mồ hôi tay nhiều, Dễ ra mồ hồi đầu mặt, Lưng nhiều, Cảm giác tức ngực khó chịu vùng ngực bên trái,
, Tay lạnh,  Mặt sáng nhợt,  Môi hơi tím.";Pale, slightly wet;Empty trong tâm khí hư và Pale, slightly wet trong Tâm dương hư;Bộ Tâm day bổ. Kèm theo hơ ngải. ;Khí hải, Đản trung, Tâm du, Thông lý, Đại chùy, Nội quan. Tất cả đều bổ;Nhục Quế Bảo Nguyên Thang
tamhuyethu;Tâm huyết hư;"Hôi hộp đánh trống ngực, chóng mặt, mất ngủ, ngủ hay mơ, trí nhớ kém, lo lắng, hay giật mình,
 da nhợt , môi nhợt nhạt";Pale, Thin, slightly dry.;Choppy or Fine.;Bộ Tâm day bổ kết hợp bộ Can để bổ huyết.;Quan nguyên, Cách du, Thần môn, Tỳ du, Cự khuyết, Cưu vĩ. Tất cả đều bổ. ;Sâm Kì Tứ Vật Thang
tamamhu;Tâm âm hư;Hồi hộp đánh trống ngực, mất ngủ, ngủ hay mơ, hay giật mình, trí nhớ kém, lo lắng, dễ bồn chồn, đổ mồ hôi về đêm;"no coating, deep midline crack reaching 
the tip"; Floating-Empty;Bộ Tâm day bổ kết hợp bộ Thận. Hơ ngải bộ Thận một chút. ;Quan nguyên, Tam âm giao, Thần môn, Phục lưu, Cự khuyết, Âm khích, Cưu vĩ. Tất cả đều bổ;Thiên Vương Bổ Tâm Đan
tamhoavuong;Tâm hỏa vượng;"Hồi hộp đánh trống ngực, khát nước, loét miệng và lưỡi, dễ bồn chồn, cảm thấy bị kích động, cảm thấy nóng, mất ngủ,
hay mơ mộng, khuôn mặt đỏ, nước tiểu sẫm màu hoặc tiếu máu, đắng miệng   (đặc biệt sau một đêm mất ngủ)";"Red, tip redder and swollen with red points, 
yellow coating. There may be a midline crack 
reaching to the tip";"Full-Rapid-Overflowing especially on the left 
Front position. It could also be Hasty (Rapid and 
stopping at irregular intervals).";Bộ Tâm day tả kết hợp theo bộ Tam Tiêu day tả. ( Có thể thử nghiệm với bộ Tiểu Trường day tả);Tam âm giao, Chiếu hải, Thần môn, Hậu đính, Thần đình, Thiếu phủ, Cưu vĩ, Thiếu xung. Tất cả đều tả trừ Tam âm giao và Chiếu hải. ;Tả Tâm Thang
tamkhiuatket;Tâm khí uất kết;Đánh trống ngực,nặng ngực cảm giác như bị có vật gì đè nặng lên ngực, cảm giác nghẹn ở cổ họng,hay thở dài, ăn kém không muốn ăn, buồn nôn nhẹ, chân lạnh, đôi môi hơi tím, nước da nhợt;"slightly Pale-Purple on the sides in the 
chest area ";" Empty but very slightly Overflowing on the left 
Front position";Bộ Tâm day tả kết hợp bộ Can day tả. ;Đản trung, Thần môn, Liệt khuyết, Thông lý, Nội quan, Phong long, Cưu vĩ. Tất cả đều tả. ;Mộc Hương Lưu Khí Ẩm, Bán Hạ Hậu Phác Thang
tammachtacnghen;Tâm mạch tắc nghẽn;"Hồi hộp đánh trống ngực, khó thở nhẹ và không thể nằm sấp, trầm cảm bồn chồn về tinh thần, cảm giác nặng ngực như có vật gì đè, đau như dao đâm ở  đau ở vùng tim đến và cơn đau lan
tỏa ra sau lưng hoặc vai đau tăng 
khi tiếp xúc với lạnh và giảm bớt bởi nhiệt, bàn tay lạnh, môi  tím, móng tay tím";Purple on the sides in the chest area, Swollen with a sticky coating;"Wiry, Choppy or Knotted; Slippery if Phlegm is predominant.";Bộ Tâm day tả kèm theo bộ Tâm Bào day tả. ;Đản trung, Tâm du, Cách du, Thần môn, Liệt khuyết, Thông lý, Trung quản, Nội quan, Phong long, Cưu vĩ. Tất cả đều tả trừ Trung Quản bổ;Chỉ Thực Qua Lâu Quế Chi Thang
dommetamkhieu;Đờm mê tâm khiêu;Rối loạn tâm thần, bất tỉnh,  lời nói không mạch lạc, nói lắp, mất ngôn ngữ, nôn đờm, âm thanh lọc xọc trong cổ họng, mắt rất đờ đẫn.;"Swollen with thick sticky coating, midline 
crack reaching the tip (Heart crack).";Slippery;Bộ Tỳ day bổ để trừ Đờm. ;Tâm du, Tỳ du, Giản sử, Trung quản, Đại chùy, Phong long, Nhân trung (Thủy câu), Thiếu xung. Tất cả đều tả trừ Trung Quản và Tỳ du bổ.;Định Đàm Thang
domhoanoinhieu;Đờm hỏa nội nhiêu;Hồi hộp đánh trống ngực, khát nước, mặt đỏ, đắng miệng ,cảm giác nặng ngực, nhiều đờm tiếng lọc xọc của đờm trong họng và ngực, bồn chồn lo âu, mất ngủ, rối loạn hành vi cưới khóc thất thường, đánh người, la hét. ;" Red, Swollen, yellow dry sticky coating, deep 
Heart crack. The tip may be redder and swollen 
with red points";Full-Rapid-Slippery or Rapid-Overflowing_x0002_Slippery or Rapid-Full-Wir;Bộ Tâm day tả kèm theo bộ Tỳ day bổ. ;Đại lăng, Bản thần, Tâm du, Tam âm giao, Thần môn, Chính dinh, Tỳ du, Giản sử, Thần đình, Trung quản, Hành gian, Phong long, Cưu vĩ, Thiếu phủ, Thiếu xung. Tất cả đều tả trừ  Trung Quản và Tỳ Du. ;Ôn Đởm Thang
tamhuyetutre;Tâm huyết ứ trệ;"Hồi hộp đánh trống ngực, đau như dao dâm hoặc buốt  ở ngực ở một ví trí cố định
có thể tỏa ra khía cạnh bên trong của cánh tay trái hoặc đến vai, nặng ngực, tím  môi và móng tay, bàn tay lạnh";"Purple in its entirety or only on the sides in 
the chest area.";Choppy, Wiry or Knotted;Bộ huyệt gì đó;Thần tàng, Đản trung, Cách du, Huyết hải, Khích môn, Thông lý, Quyết âm du, Nội quan. Tất cả đều tả. ;Huyết Phủ Trục Ứ Thang
canhuyethu;Can huyết hư;Hoa mắt chóng mặt, tê hoặc ngứa ran đặc biệt ở chân, mất ngủ, mờ mắt hoặc có màng mây màng nhện trong mắt, thị lực ban đêm giảm dần hoặc quáng gà , kinh nguyệt ít  hoặc vô kinh, khô da, trầm cảm hoặc cảm giác vô mục đích ;Pale body, especially on the sides, which, in extreme cases, can assume an orangey colour, Thin and slightly dry;Choppy or Fine.;Bộ Can day bổ. ;Quan nguyên, Tam âm giao, Cách du, Thận du, Khúc tuyền, Tỳ du, Can du, Túc tam lý. Tất cả đều bổ. ;Bổ Can Thang
canamhu;Can âm hư;"Chóng mặt, tê hoặc ngứa ran đặc biệt vùng chân, mất ngủ, mắt mờ hoặc có màng mây màng nhện che trong mắt, mắt khô, kinh nguyệt ít hoặc vô kinh, yếu cơ đặc biệt là chân yếu, chuột rút, móng tay khô giòn, tóc và da  khô, trầm cảm hoặc
Cảm giác không có mục đích sống";"normal-coloured without coating or with 
rootless coating";Floating-Empty.;Bộ Can day bổ kết hợp bộ Thận day bổ;Quan nguyên, Tam âm giao, Chiếu hải, Thái khê, Khúc tuyền, Hành gian, Túc tam lý. Tất cả đều bổ. ;Nhất Quán Tiễn
canhoavuong;Can hỏa vượng;"Khó chịu không kiểm soát được cảm xúc hoặc dễ tức giận, ù tai,
nghe kém hoặc điếc, đau đầu thái dương, chóng mặt, mặt đỏ hoặc mắt đỏ, khát nước, đắng miệng, mất ngủ hay mơ, hay mơ giấc mơ bạo lực hoặc đánh đập, táo bón phân khô, nước tiểu màu vàng đậm, chảy máu mũi hoặc ho máu nôn máu. ";" Red body, redder on the sides, dry yellow 
coating.";Full-Wiry-Rapid;Bộ Can day tả có thể kết hợp bộ Vị day tả để trừ nhiệt.;Bản thần, Đại đôn, Tam âm giao, Khúc trì, Hành gian, Thái xung, Phong trì. Tất cả đều tả. ;Long Đởm Tả Can Thang
cankhiuatket;Can khí uất kết;"Cảm giác căng tức vùng ngực hoặc hạ sườn hoặc thượng vị,hay thở dài, u sầu trầm cảm ủ rũ, tinh thần bất ổn,
nuốt vường hoặc cảm thấy vùng họng có vật gì nghẹn, kinh nguyệt không đều, đau bụng kinh hoặc đau vú trước kì kinh. ";"the body colour may be normal. In severe 
cases, it may be slightly Red on the sides";Wiry, especially on the left side;Bộ Can day tả;Kỳ môn, Dương lăng tuyền, Chương môn, Thái xung, Nội quan. Tất cả đều tả. ;Tiêu Dao Tán
canhuyetutre;Can huyết ứ trệ;Đau ngực hoặc hạ sườn, đau bụng, nôn máu hoặc chảy máu mũi , đau bụng kinh khi ra máu kinh nguyệt , máu kinh nguyệt là máu đỏ thẫm máu đen hoặc nhiều máu cục, da có nhiều nốt xuất huyết màu đỏ hoặc tím.;"Purple especially, or only, on the sides. In 
severe cases, there will be purple spots on the sides";Wiry or Firm.;Bộ Can day tả;Trung đô, Công tôn, Khí hải, Cách du, Huyết hải, Dương lăng tuyền, Lãi câu, Tứ mãn, Thái xung, Nội quan, Can du, Qui lai. Tất cả đều tả. ;Cách Hạ Trục Ứ Thang
cankinhthapnhiet;Can kinh thấp nhiệt;Đau hoặc căng đầy chướng phần hạ vị, đắng miệng ,miệng có vị nợ nợ lợm miệng, ăn kém hoặc không muốn ăn, buồn nôn, cảm giác nặng nề của cơ thể, tiết dịch âm đạo màu vàng, ngứa âm đạo hoặc chàm âm hộ hoặc vết loét, đỏ và sưng bìu dái, phát ban và ngứa da ở bộ phận sinh dục sẩn hoặc mụn nước, khó tiểu, nóng rát khi đi tiểu,  nước tiểu sẫm màu;Red body with redder sides, sticky yellow coating.;Slippery-Wiry-Rapid.;Bộ Can day tả. Nếu Thấp nhiều thì kết hợp bộ Tỳ day bổ nếu nhiệt nhiều thì kết hợp bộ Vị day tả;Kì Môn, Dương Lăng Tuyền, Can Du, Trung Quản, Âm Lăng Tuyền, Tam Âm Giao, Khúc Trì, Hành Gian. Tất cả đều tả.;Long Đởm Tả Can Thang
hantrocanmach;Hàn trở can mạch;Teo âm đạo ở phụ nữ hoặc âm đạo mỏng và khô, nam giới đau từ hạ vị lan xuống bìu dái cảm giác đau căng tức, nôn khan hoặc nôn ra dịch trắng như nước, người lạnh chân tay lạnh. ;Pale and wet with a white coating;Deep-Wiry-Slow.;Bộ Can day tả kèm theo hơ ngải;Thái xung, Trung cực, Lãi câu, Đại đôn. Tất cả hơ ngải. ;Noãn Can Tiễn
canphongnoidong;Can phong nội động;Tê bì tay chân hoặc người, run tay chân, hay bị chuột rút, đau đầu căng giật, máy cơ hoặc giật giật cơ, động kinh hoặc co giật, liệt;Tùy thuộc vào các trường hợp: Nhiệt động sinh phong, Can dương vượng, Can hỏa vượng, Can huyết hư;Tùy thuộc vào các trường hợp kể trên;Bộ Đởm day tả. ;Thái Xung, Dương Lăng Tuyền, Hợp Cốc, Phong Trì. Day tả.;
canduongvuong;Can dương vượng;Đau đầu đặc biệt đau đầu vùng thái dương hoặc hốc mắt hoặc nửa bên đầu, chóng mặt, ù tai, nghe kém hoặc điếc, mờ mắt, khô miệng và  họng, mất ngủ, bứt rứt khó chịu, khó kiểm soát cảm xúc hoặc dễ nóng giận.;"the tongue presentation may vary widely depending on the underlying condition causing Liver-Yang rising. If this derives from Liver-Blood deficiency the tongue-body colour will be Pale; if it derives from Liver-Yin deficiency the tongue will be without coating. In some cases, Liver-Yang rising may develop from rebellious Liver-Qi: in this case the tongue-body colour may be normal or slightly red on the sides";Wiry. However, if there is a background of Liver-Blood or Liver-Yin deficiency, the pulse may be Wiry only on one side or it may also be Wiry but Fine;Bộ Đởm day tả kết hợp với bộ huyệt điều trị nguyên nhân gây ra dương vượng. ;Tam âm giao, Chiếu hải, Toản trúc, Khúc tuyền, Thái khê, Thái xung, Nội quan, Túc tam lý;Thiên Ma Câu Đằng Ẩm
phekhipheduonghu;Phế khí phế dương hư;Dễ khó thở khi gắng sức hoặc khi lao động, hụt hơi, nói nhanh mệt, nặng ngực hoặc khó chịu vùng ngực, dễ ra mồ hôi đầu mặt, sợ gió sợ lạnh, tay lạnh. ;Pale; Empty, especially on the Right-Front position.;Bộ Phế day bổ kết hợp bộ Thận. Có thể kèm hơ ngải.;Khí hải, Thái uyên, Thân trụ, Trung quản, Túc tam lý, Phế du, Liệt khuyết;Nhân Sâm Bổ Phế Thang
pheamhu;Phế âm hư;Ho khan hoặc ho với đờm dính khó khạc, giọng nói yếu, giọng nói khàn, khô miệng họng, cổ họng khó chịu hay khậm khạc vì đờm, ngại nói vì nói sẽ nhanh mệt, người gầy ngực nhỏ và dài, đổ mồ hôi về đêm. ;normal-coloured, dry without coating (or with rootless coating) in the front part;Floating-Empty;Bộ Phế day bổ.;Quan nguyên, Thái uyên, Đản trung, Thân trụ, Chiếu hải, Tam âm giao, Trung quản, Cao hoang du, Phế du, Ngư tế. Tất cả day bổ.;Dưỡng Âm Thanh Phế Thang
phedomthap;Phế đờm thấp;Ho mạn tính, nhiều đờm và rất dễ để khạc đờm, cảm thấy nặng ngực, thở ngắn, ngại nói vì nhanh mệt, nôn hoặc buồn nôn, đau đầu như bó hoặc đau đầu giống như đội mũ chật. ;Swollen with a sticky white coating.;Slippery or Soggy;Bộ Phế day tả kèm theo bộ Tỳ day bổ. ;Đản trung, Xích trạch, Trung phủ, Tỳ du, Trung quản, Nội quan, Phong long, Thủy phân, Phế du, Thiên đột, Liệt khuyết. Tất cả tả trừ Tỳ Du và Trung Quản day bổ. ;Nhị Trần Thang
phehandam;Phế hàn đàm;Ho có đờm trắng hoặc có bọt, ho nặng hơn khi gặp lạnh, sợ lạnh, cảm thấy người nặng nề. ;Swollen and wet tongue with a sticky white coating;Slippery-Slow.;Bộ Phế day tả kèm theo hơ ngải.;Đản trung, Xích trạch, Thận du, Trung phủ, Tỳ du, Trung quản, Nội quan, Phong long, Thủy phân, Phế du, Thiên đột, Liệt khuyết. Thận Du, Trung Quản day bổ, còn lại day tả. ;Xạ Can Ma Hoàng Thang
phenhietdam;Phế nhiệt đàm;Ho với đờm màu vàng hoặc xanh, hơi khó thở, nặng ngực,  cảm thấy người nặng nề, cảm thấy nóng hoặc hơi sốt. ;Red, Swollen with a sticky yellow coating;Slippery-Rapid;Bộ Đại trường day tả;Xích trạch, Trung phủ, Trung quản, Ngư tế, Phong long, Phế du, Liệt khuyết. Tất cả day bổ trừ huyệt Trung Quản. ;Ôn Đởm Thang, Thanh Khí Hóa Đàm Hoàn
phetaodam;Phế táo đàm;Ho khan, có đờm nhưng khó khạc đờm, hơi khó thở, nặng ngực, khô họng, da khô. ;Swollen with a dry sticky coating or without coating;Fine-Slippery;Bộ Phế day tả kết hợp bộ Thận day bổ.;Thái uyên, Chiếu hải, Tam âm giao, Đản trung, Trung quản, Phong long, Túc tam lý, Phế du, Liệt khuyết. Day tả huyệt Phong Long, Liệt Khuyết, Phế Du, Đản Trung, Thái Uyên. Còn lại day bổ. ;Bối Mẫu Qua Lâu Tán
phedomdich;Phế đờm dịch;Ho khạc hoặc nôn ra đờm trắng như nước và có nhiều bọt, đờm lọc xọc trong họng và ngực, nặng ngực, người nặng nề;Pale with thick sticky white coating.;Fine-Slippery or Soggy or Wiry.;Bộ Phế day tả kết hợp bộ Tỳ day bổ;Thủy phân, Thái uyên, Đản trung, Âm lăng tuyền, Xích trạch, Thận du, Tỳ du, Trung quản, Cao hoang du, Phong long, Túc tam lý, Phế du. Day tả huyệt Xích Trạch, Phong Long, Âm Lăng Tuyền.  Còn lại day bổ. ;Linh Cam Ngũ Vị Khương Tân Thang
phenhiet;Phế nhiệt;Ho, hơi thở nhẹ, cảm giác nóng, đau ngực, lỗ mũi thở ra thấy nóng, mặt đỏ.;Red with yellow coating; Overflowing-Rapid;Bộ Phế day tả nếu nhiệt nặng quá và sốt cao có thể kết hợp thêm bộ Đại trường hợp Vị day tả. ;Xích trạch, Trung phủ, Ngư tế, Phế du, Liệt khuyết. Tất cả day tả. ;Ma Hạnh Thạch Cam Thang
phongthuyphamphe;Phong thủy phạm phế;Đột ngột phù mắt sau đó phù toàn bộ cơ thể, sợ gió, sốt, khó thở nhẹ. ;sticky white coating.;Floating-Slippery;Bộ Phế day tả kết hợp bộ Thận day bổ. ;Phong môn, Thủy phân, Nhân trung (Thủy câu), Phế du, Liệt khuyết. Tất cả day tả. ;Tiểu Thanh Long Thang
phehan;Phong hàn phạm phế;Sợ lạnh, ngứa họng, ho, ngạt mũi hoặc chảy nước mũi trắng trong, đau đầu hoặc đau mỏi người, sốt nhẹ( 37-38.5oC);thin-white coating.;Floating-Tight;Bộ Phế day tả;Phong phủ, Phong môn, Liệt khuyết. Tất cả day tả. ;Ma Hoàng Thang
phongnhietphamphe;Phong nhiệt phạm phế;Sốt, ho, đau họng, chảy nước mũi vàng hoặc xanh, đau đầu hoặc nhức mỏi người. ;slightly Red on the sides in the chest areas or on the front part.;Floating-Rapid;Bộ Đại trường day tả nếu sốt cao dùng bộ Vị day tả. ;Phong môn, Phong phủ, Đại chùy, Thiếu thương, Liệt khuyết. Tất cả day tả. ;Tang Cúc Ẩm
tykhityduonghu;Tỳ khí Tỳ dương hư;Đầy bụng sau ăn, chán ăn, mệt mỏi thích nằm, đi ngoài phân lỏng;Pale;Empty;Bộ Tỳ day bổ;Tam âm giao, Vị du, Tỳ du, Trung quản, Thái bạch, Túc tam lý. Tất cả đều bổ. ;Tứ Quân Tử Thang
tyhuyethu;Tỳ huyết hư;Chán ăn, đầy bụng sau ăn, đi ngoài phân lỏng, người gầy, kinh nguyệt ít hoặc vô kinh. ;Pale, Thin and slightly dry;Choppy or Fine;Bộ Tỳ day bổ kết hợp bộ Can day bổ;Quan nguyên, Tam âm giao, Cách du, Vị du, Tỳ du, Trung quản, Thái bạch, Túc tam lý. Tất cả đều bổ. ;Quy Tỳ Thang
tykhihaham;Tỳ khí hạ hãm;Đầy bụng sau ăn, chán ăn, đi ngoài phân lỏng, béo hoặc dễ tăng cân, sa tử cung hoặc trĩ;Pale;Weak. When the stomach is prolapsed, this can be felt on the middle right position on the pulse. If we divide the Stomach position on the pulse in three parts, the upper part will simply not be felt when the stomach is prolapsed.;Bộ Tỳ day bổ;Khí hải, Trường Cường, Bách hội, Lương môn. Tất cả đều bổ. ;Bổ Trung Ích Khí Thang
hanthapphamty;Hàn thấp phạm Tỳ;Đầy bụng, chán ăn, đau nặng đầu, người nặng nề, lợ lợ trong miệng hoặc lợm miệng, đại tiện phân lỏng, nôn hoặc buồn nôn, phụ nữ nhiều khí hư âm đạo trắng, cảm thấy lạnh bụng thích đồ ấm nóng ăn lạnh dễ đau bụng. ;Pale with a sticky white coating.; Slippery-Slow.;Bộ Tỳ day bổ kèm theo hơ ngải;Kiến lý, Tam âm giao, Âm lăng tuyền, Tỳ du, Trung quản, Thái bạch, Thủy phân, Quan môn, Đầu duy, Thủy đạo. Day bình bổ bình tả.;Bình Vị Tán
thapnhietphamty;Thấp nhiệt phạm Tỳ;Đầy bụng, chán ăn, cảm thấy nặng nề, khát nước mà không muốn uống,nôn hoặc buồn nôn, phân lỏng và có mùi rất thối, nóng rát vùng hậu môn, nước tiểu sậm màu, đau nặng đầu, da vàng sậm màu, lòng trắng mắt chuyển sang màu vàng, đắng miệng, ngứa da. ;Red with sticky yellow coating.;Slippery-Rapid.;Bộ Tỳ day bổ kết hợp bộ Vị day tả. ;Kiến lý, Tam âm giao, Âm lăng tuyền, Tam tiêu du, Tỳ du, Thủy phân, Quan môn, Chí dương, Thủy đạo. Tất cả đều tả trừ Âm lăng tuyền;Liên Phác Ẩm
thanduonghu;Thận dương hư; Đau thắt lưng, chóng mặt, ù tai, đầu gối lạnh yếu, chân lạnh, tiểu nhiều hoặc tiểu đêm, nam giới yếu sinh lý  xuất tinh sớm di tinh mông tinh, phụ nữ vô kinh vô sinh, đi ngoài phân lỏng.;Pale and wet;Deep-Weak;Bộ Thân day bổ, kèm theo hơ ngải;Quan nguyên, Khí hải, Thận du, Thái khê, Phục lưu, Chí thất, Mệnh môn. Tất cả đều bổ kèm theo hơ ngải. ;Tả Quy Hoàn
thanamhu;Thận âm hư;Chóng mặt, ù tai, trí nhớ kém, nghe kém hoặc điếc, ra mồ hôi ban đêm hoặc ra mồ hôi khi ngủ, khô miệng họng, đau lưng vùng thắt lưng đặc biệt khi ngồi nhiều, đau trong xương, di tinh mộng tinh yếu sinh lý hoặc tinh trùng yếu, vô sinh hoặc vô kinh, táo bón, nước tiểu vàng. ;normal-coloured without coating.;Floating-Empty;Bộ Thận day bổ kết hợp bộ Can day bổ. Hơ ngải một ít;Quan nguyên, Âm giao, Chiếu hải, Tam âm giao, Thái khê, Âm cốc, Trúc tân, Liệt khuyết. Tất cả đều bổ. ;Hữu Quy Hoàn
